"","ID","CRUCODE","YEAR","MONTH","STA","STRATUM","TOW","VESSEL","EST_EDT","YRMODA","TIME","MINOUT","STARTDEPTH","ENDDEPTH","MINDEPTH","MAXDEPTH","SLAT","SLONG","ELAT","ELONG","TEMPSURF","TEMPBOT","SALSURF","SALBOT","DOSURF","DOBOT","SPP","NUMBER","WEIGHT"
"5840",20222002,20222,2022,4,2,17,15,"SW",2,20220409,728,15,25.01,24.705,24.705,25.01,4004.432,7351.807,4004.419,7350.872,14.571,6.736,0.115,38.32,10.075,9.22,15,6,13.26
"5841",20222003,20222,2022,4,3,17,44,"SW",2,20220409,948,20,23.485,21.96,21.96,23.485,3952.476,7354.005,3951.55,7353.509,7.478,6.564,37.61,38.42,9.85,8.71,15,21,34.56
"5842",20222004,20222,2022,4,4,16,11,"SW",2,20220409,1119,20,16.775,17.08,16.775,17.08,3952.229,7401.277,3951.224,7401.173,8.222,6.979,34.84,37.8,11.38,9.15,15,7,12.36
"5843",20222005,20222,2022,4,5,16,14,"SW",2,20220409,1239,20,12.505,13.115,12.505,13.115,3947.311,7403.41,3946.282,7403.369,8.259,7.101,35.18,37.13,11.67,9.6,15,4,5.53
"5844",20222006,20222,2022,4,6,20,16,"SW",2,20220409,1509,20,23.18,23.485,23.18,23.485,3932.416,7401.598,3932.083,7400.388,8.324,7.059,31.02,37.86,12.36,8.94,15,61,97.35
"5845",20222007,20222,2022,4,7,20,39,"SW",2,20220409,1717,20,20.435,20.13,20.13,20.435,3923.924,7405.878,3922.912,7405.696,NA,7.347,NA,37.47,NA,9.18,15,61,90.18
"5846",20222008,20222,2022,4,8,20,62,"SW",2,20220409,1850,20,24.095,25.315,24.095,25.315,3917.244,7410.112,3916.288,7410.56,8.26,7.27,37.51,38.01,9.74,9.09,15,72,118.08
"5847",20222009,20222,2022,4,9,18,41,"SW",2,20220410,706,20,6.1,6.71,6.1,6.71,3918.979,7428.648,3919.308,7429.582,7.805,NA,37.36,NA,9.1,NA,15,17,23.03
"5848",20222010,20222,2022,4,10,19,52,"SW",2,20220410,846,20,16.165,18.605,16.165,18.605,3911.421,7431.211,3910.502,7431.778,8.68075,7.6735,37.10438,37.75525,9.37438,9.2555,15,2,4.48
"5849",20222011,20222,2022,4,11,18,52,"SW",2,20220410,1023,20,7.625,8.54,7.625,8.54,3914.622,7434.75,3913.83,7435.556,8.1025,8.03988,37.478,37.56756,9.207,9.0189,15,22,34.24
"5850",20222012,20222,2022,4,12,22,6,"SW",2,20220410,1202,20,11.285,12.2,11.285,12.2,3907.306,7440.049,3906.421,7440.602,8.48458,8.13628,37.59605,37.77189,9.31488,9.27811,15,12,15.54
"5851",20222013,20222,2022,4,13,22,12,"SW",2,20220410,1328,20,12.505,13.42,12.505,13.42,3904.277,7442.379,3903.289,7442.457,8.59376,8.28445,37.44172,37.66591,9.15172,9.06182,15,19,35.71
"5852",20222014,20222,2022,4,14,21,8,"SW",2,20220410,1450,20,7.625,7.625,7.625,7.625,3903.447,7443.941,3904.268,7443.229,8.19933,8.2043,37.57267,37.5075,8.99933,8.93,15,5,7.04
"5853",20222015,20222,2022,4,15,21,13,"SW",2,20220410,1618,20,10.37,8.235,8.235,10.37,3859.402,7446.287,3858.705,7447.188,8.73058,8.71696,37.59658,37.62214,9.235,9.15625,15,18,14.47
"5854",20222016,20222,2022,4,16,24,14,"SW",2,20220410,1841,20,10.065,7.015,7.015,10.065,3852.989,7454.585,3853.852,7455.2,9.14705,9.0571,35.534,36.69707,9.261,9.01439,15,21,30.22
"5855",20222017,20222,2022,4,17,24,34,"SW",2,20220411,802,20,11.285,10.675,10.675,11.285,3849.097,7458.476,3849.484,7459.61,8.81245,8.30247,34.63255,37.31117,9.33608,8.98156,15,13,26.51
"5856",20222018,20222,2022,4,18,25,15,"SW",2,20220411,942,20,11.59,NA,11.59,12.2,3849.104,7457.728,3849.636,7456.555,9.2352,8.4077,32.84029,36.73817,9.23657,9.06843,15,14,25.85
"5857",20222019,20222,2022,4,19,25,22,"SW",2,20220411,1055,20,12.81,13.42,12.81,13.42,3845.989,7454.931,3845.446,7453.903,9.45848,8.32261,35.2416,37.42974,9.5144,9.09753,15,10,17.98
"5858",20222020,20222,2022,4,20,25,29,"SW",2,20220411,1207,20,16.165,17.385,16.165,17.385,3843.965,7449.895,3844.898,7449.408,8.75681,8.32649,37.00894,37.42279,9.45447,9.07605,15,52,96.48
"5859",20222021,20222,2022,4,21,26,20,"SW",2,20220411,1339,20,17.995,19.215,17.995,19.215,3841.35,7443.268,3842.143,7442.479,8.61011,8.09077,37.67649,38.02892,9.49561,9.18176,15,51,93.25
"5860",20222022,20222,2022,4,22,26,5,"SW",2,20220411,1501,20,17.08,19.215,17.08,19.215,3848.114,7443.921,3849.891,7443.094,8.73288,8.14715,37.77769,37.90595,9.45677,9.19709,15,21,48.74
"5861",20222023,20222,2022,4,23,23,38,"SW",2,20220411,1655,20,21.655,21.045,21.045,21.655,3851.54,7429.971,3852.543,7429.775,8.11746,7.66113,37.94538,38.15268,9.57923,9.27071,15,121,198.83
